subect,verb,object
oh bah mə,be,american politician
oh bah mə,be,44th president
oh bah mə,be,united states
oh bah mə,be,democratic party
oh bah mə,be,african american   president
oh bah mə,serve,u.s senator
oh bah mə,serve,illinois
oh bah mə,bear,illinois state senator
oh bah mə,bear,honolulu
oh bah mə,work,columbia university
oh bah mə,work,community organizer
oh bah mə,enrol,chicago
oh bah mə,enrol,harvard law school
oh bah mə,enrol,black president
oh bah mə,become,harvard law review
oh bah mə,become,civil rights attorney
oh bah mə,teach,constitutional law
oh bah mə,teach,university
oh bah mə,turn,law school
oh bah mə,turn,elective politics
oh bah mə,represent,13th district
oh bah mə,represent,illinois senate
oh bah mə,receive,u.s senate
oh bah mə,receive,national attention
oh bah mə,receive,march senate primary win
oh bah mə,nominate,senate
oh bah mə,nominate,president
oh bah mə,nominate,campaign
oh bah mə,elect,close primary campaign
oh bah mə,elect,hillary clinton
oh bah mə,elect,republican nominee john mccain
oh bah mə,elect,general election
oh bah mə,name,running mate
oh bah mə,name,january
oh bah mə,name,2009 nobel peace prize laureate
oh bah mə,sign,landmark bills
oh bah mə,sign,law
oh bah mə,sign,years
oh bah mə,include,office
oh bah mə,include,affordable care act
oh bah mə,include,aca
oh bah mə,include,public health insurance option
oh bah mə,ask,repeal act
oh bah mə,serve,economic stimuli
oh bah mə,serve,great recession
oh bah mə,sign,lengthy debate
oh bah mə,sign,national debt limit
oh bah mə,sign,budget control
oh bah mə,increase,foreign policy
oh bah mə,increase,u.s troop levels
oh bah mə,increase,afghanistan
oh bah mə,increase,nuclear weapons
oh bah mə,order,military involvement
oh bah mə,order,iraq war
oh bah mə,order,libya
oh bah mə,order,implementation
oh bah mə,contribute,un security council resolution
oh bah mə,contribute,overthrow
oh bah mə,order,muammar gaddafi
oh bah mə,order,military operation
oh bah mə,order,killing
oh bah mə,order,osama bin laden
oh bah mə,swear,election
oh bah mə,swear,republican opponent mitt romney
oh bah mə,swear,second term
oh bah mə,promote,term
oh bah mə,promote,inclusion
oh bah mə,promote,lgbt americans
oh bah mə,promote,briefs
oh bah mə,promote,supreme court
oh bah mə,promote,sex marriage bans
oh bah mə,legalize,windsor
oh bah mə,legalize,hodges
oh bah mə,rule,obergefell
oh bah mə,advocate,gun control
oh bah mə,advocate,response
oh bah mə,advocate,sandy hook elementary school shooting
oh bah mə,indicate,support
oh bah mə,indicate,ban
oh bah mə,indicate,assault weapons
oh bah mə,indicate,wide ranging executive actions
oh bah mə,order,global warming
oh bah mə,order,successful military interventions
oh bah mə,order,iraq
oh bah mə,order,gains
oh bah mə,order,isil
oh bah mə,order,2011 withdrawal
oh bah mə,order,process
oh bah mə,order,u.s combat operations
oh bah mə,order,discussions
oh bah mə,order,2015 paris agreement
oh bah mə,nominate,global climate change
oh bah mə,nominate,sanctions
oh bah mə,nominate,russia
oh bah mə,nominate,invasion
oh bah mə,nominate,ukraine
oh bah mə,nominate,interference
oh bah mə,nominate,2016 u.s elections
oh bah mə,nominate,jcpoa nuclear deal
oh bah mə,nominate,iran
oh bah mə,nominate,u.s relations
oh bah mə,nominate,cuba
oh bah mə,nominate,justices
oh bah mə,face,partisan obstruction
oh bah mə,face,republican led senate
oh bah mə,face,mitch mcconnell
oh bah mə,face,hearings
oh bah mə,face,nomination
oh bah mə,improve,washington
oh bah mə,improve,obama terms
oh bah mə,improve,reputation
oh bah mə,regard,presidency
oh bah mə,regard,historians
oh bah mə,regard,upper tier
oh bah mə,regard,american presidents
united states,be,america
united states,be,country
united states,consist,north america
united states,consist,50 states
democratic party,be,major contemporary political parties
democratic party,be,united states
democratic party,be,main historic rival
national museum,be,african american history
national museum,be,smithsonian institution museum
national museum,be,national mall
national museum,be,washington
national museum,be,united states
john sidney mccain iii,be,american politician
john sidney mccain iii,be,united states senator
john sidney mccain iii,be,arizona
john sidney mccain iii,be,death
illinois,be,state
illinois,be,midwestern region
illinois,have,united states
illinois,have,fifth largest gross domestic product
illinois,have,u.s states
barack hussein obama ii,be,american politician
barack hussein obama ii,be,44th president
barack hussein obama ii,be,united states
barack hussein obama ii,be,democratic party
barack hussein obama ii,be,african american president
honolulu,be,capital
honolulu,be,u.s state
honolulu,be,hawaii
honolulu,be,pacific ocean
honolulu,be,unincorporated county seat
honolulu,be,consolidated city
honolulu,be,southeast coast
honolulu,be,island
honolulu,be,oʻahu
honolulu,be,westernmost
columbia university,be,private ivy league research university
columbia university,establish,new york city
columbia university,establish,grounds
columbia university,establish,trinity church
columbia university,be,manhattan
columbia university,be,oldest institution
columbia university,be,higher education
columbia university,be,new york
columbia university,be,higher learning
columbia university,be,united states
chicago bears,be,professional american football team
chicago bears,compete,chicago
chicago bears,compete,national football league
chicago bears,compete,member club
chicago bears,compete,league national football conference north division
harvard law school,be,law school
harvard law school,be,harvard university
harvard law school,found,cambridge
harvard law school,be,oldest continuously operating law school
harvard law school,be,united states
harvard law school,be,prestigious
harvard law school,be,world
harvard law review,be,law review
harvard law review,be,independent student group
harvard law review,be,harvard law school
harvard law review,place,journal citation reports
harvard law review,place,4.979
harvard law review,place,journal
harvard law review,place,143 journals
harvard law review,place,category law
division,be,justice
division,be,institution
division,be,federal government
division,be,federal statutes
division,be,discrimination
division,be,basis
division,be,race
constitutional law,be,body
constitutional law,be,law
constitutional law,be,role
constitutional law,be,different entities
constitutional law,be,state
constitutional law,be,citizens
constitutional law,be,federal countries
constitutional law,be,united states
constitutional law,be,central government
university,be,institution
university,be,higher education
university,be,academic degrees
university,offer,academic disciplines
university,offer,undergraduate postgraduate programs
law school,be,institution
law school,be,legal education
law school,be,process
law school,be,lawyer
law school,be,given jurisdiction
district,be,2004 french action film
district,be,pierre morel
district,be,luc besson
district,be,depiction
district,be,parkour
district,be,number
district,be,stunt sequences
district,be,use
district,be,wires
illinois senate,be,upper chamber
illinois senate,be,illinois general assembly
illinois senate,create,government
illinois senate,create,state
illinois senate,create,illinois
illinois senate,create,united states
illinois senate,create,state constitution
united states senate,be,upper chamber
united states senate,be,united states congress
united states senate,be,house
united states senate,compose,representatives
united states senate,compose,lower chamber
united states senate,compose,national bicameral legislature
united states senate,compose,united states
united states senate,establish,senate
united states senate,establish,article
united states senate,establish,united states constitution
united states senate,compose,senators
united states senate,compose,single state
united states senate,represent,entirety
united states senate,be,staggered terms
united states senate,be,years
united states senate,be,100 senators
united states senate,be,50 states
united states senate,be,upper chamber
united states senate,be,united states congress
united states senate,be,house
united states senate,compose,representatives
united states senate,compose,lower chamber
united states senate,compose,national bicameral legislature
united states senate,compose,united states
united states senate,establish,senate
united states senate,establish,article
united states senate,establish,united states constitution
united states senate,compose,senators
united states senate,compose,single state
united states senate,represent,entirety
united states senate,be,staggered terms
united states senate,be,years
united states senate,be,100 senators
united states senate,be,50 states
joseph robinette biden jr,be,american politician
joseph robinette biden jr,be,46th
joseph robinette biden jr,member,united states
joseph robinette biden jr,member,democratic party
joseph robinette biden jr,serve,47th vice president
joseph robinette biden jr,serve,barack obama
joseph robinette biden jr,serve,delaware
joseph robinette biden jr,serve,united states senate
campaign,be,2012 american political satire comedy film
campaign,be,jay roach
campaign,be,shawn harwell
campaign,be,north carolinians
campaign,be,seat
campaign,be,congress
hillary diane rodham clinton,be,american politician
hillary diane rodham clinton,be,67th united states secretary
hillary diane rodham clinton,be,state
hillary diane rodham clinton,be,united states senator
hillary diane rodham clinton,be,new york
hillary diane rodham clinton,be,lady
hillary diane rodham clinton,be,united states
john sidney mccain iii,be,american politician
john sidney mccain iii,be,united states senator
john sidney mccain iii,be,arizona
john sidney mccain iii,be,death
general election,be,political voting election
general election,hold,given political body
general election,hold,nation
general election,hold,elections
running mate,be,person
running mate,be,joint ticket
running mate,use,election
running mate,use,reference
running mate,use,subordinate position
running mate,refer,candidates
running mate,refer,joko widodo
running mate,refer,mates
running mate,refer,relation
running mate,refer,presidential elections
running mate,refer,indonesia
january,be,month
january,be,year
january,be,julian gregorian calendars
january,know,seven months
january,know,length
january,know,31 days
january,know,new year day
2010 nobel peace prize,award,imprisoned chinese human rights activist liu xiaobo
2010 nobel peace prize,award,long non violent struggle
2010 nobel peace prize,award,fundamental human rights
2010 nobel peace prize,award,china
law,be,system
law,be,rules
law,regulate,social governmental institutions
law,regulate,behavior
law,regulate,matter
law,describe,longstanding debate
law,describe,science
law,describe,justice
years,be,song
years,be,kye fleming
years,release,american country music artist barbara mandrell
years,release,december
years,release,second single
years,release,album
years,release,record
microsoft office,be,family
microsoft office,be,client software
microsoft office,announce,microsoft
microsoft office,announce,bill gates
microsoft office,announce,august
microsoft office,announce,comdex
microsoft office,announce,las vegas
affordable care act,be,patient protection affordable care act
affordable care act,be,obamacare
affordable care act,be,united states federal statute
affordable care act,be,111th united states congress
affordable care act,be,law
affordable care act,be,president barack obama
affordable care act,be,march
academy,be,institution
academy,be,secondary tertiary higher learning
academy,trace,plato school
academy,trace,philosophy
academy,trace,approximately 385 bc
academy,trace,akademia
academy,trace,athena
academy,trace,wisdom
academy,trace,athens
public health insurance option,be,public insurance option
public health insurance option,be,proposal
public health insurance option,be,government run health insurance agency
public health insurance option,be,private health insurance companies
public health insurance option,be,united states
coronavirus aid,be,cares act
coronavirus aid,be,$ 2.2 trillion economic stimulus bill
coronavirus aid,be,116th u.s
great recession,be,period
great recession,be,marked general decline
great recession,be,national economies
great recession,the scale,recession
great recession,the scale,country
national australia bank,be,largest financial institutions
national australia bank,be,australia
national australia bank,be,terms
national australia bank,be,market capitalisation
foreign policy,be,american news publication
foreign policy,be,global affairs
foreign policy,produce,content
foreign policy,produce,website
foreign policy,produce,print issues
afghanistan,be,mountainous landlocked country
afghanistan,be,crossroads
afghanistan,be,central south asia
nuclear weapon,be,explosive device
nuclear weapon,be,destructive force
nuclear weapon,be,nuclear reactions
nuclear weapon,be,combination
nuclear weapon,be,fission fusion reactions
iraq war,be,protracted armed conflict
iraq war,be,invasion
iraq war,be,iraq
iraq war,be,united states led coalition
iraq war,be,government
iraq war,be,saddam hussein
officially state,be,libya
officially state,be,country
officially state,be,maghreb region
officially state,be,north africa
officially state,be,mediterranean sea
officially state,be,north
officially state,be,east
officially state,be,southeast
officially state,be,south
officially state,be,southwest
officially state,be,west
officially state,be,northwest
implementation,be,realization
implementation,be,application
implementation,be,plan
united nations security council resolution,be,united nations resolution
united nations security council resolution,be,members
united nations security council resolution,be,security council
united nations security council resolution,be,primary responsibility
united nations security council resolution,be,maintenance
united nations security council resolution,be,international peace
coup d'état,be,removal
coup d'état,be,government
coup d'état,be,illegal unconstitutional seizure
coup d'état,be,power
coup d'état,be,political faction
muammar muhammad abu minyar al gaddafi,be,colonel gaddafi
muammar muhammad abu minyar al gaddafi,be,libyan revolutionary politician political theorist
military operation,be,coordinated military actions
military operation,be,state
military operation,design,response
military operation,design,developing situation
military operation,design,military plan
military operation,design,situation
military operation,design,favor
kitten,be,juvenile cat
kitten,display,primary altriciality
kitten,open,mother
kitten,open,survival
kitten,open,eyes
kitten,open,seven days
kitten,develop,weeks
kitten,develop,world
kitten,develop,nest
kitten,begin,solid food
kitten,be,adult teeth
kitten,be,highly social animals
kitten,be,human companionship
osama bin mohammed bin awad bin laden,be,usama bin ladin
osama bin mohammed bin awad bin laden,be,founder
osama bin mohammed bin awad bin laden,be,pan islamic militant organization
election,be,formal group decision making process
election,hold,individual multiple individuals
election,hold,public office
term,be,period
term,be,duration
term,differentiate,relation
term,differentiate,event
term,differentiate,interval
term,use,observance
term,use,length
term,use,near term
inclusion,refer,education
inclusion,refer,model
inclusion,refer,special needs
inclusion,refer,time
inclusion,refer,non special needs students
queer history,be,united states
queer history,be,concise history
queer history,be,lgbt people
queer history,describe,society
queer history,describe,ways
queer history,describe,evolution
briefs,be,type
briefs,be,short form fitting underwear
briefs,oppose,styles
briefs,oppose,thighs
supreme court,be,united states
supreme court,be,highest court
supreme court,be,federal judiciary
supreme court,have,america
supreme court,have,ultimate appellate jurisdiction
supreme court,have,federal state court cases
supreme court,have,point
supreme court,have,federal law
supreme court,have,narrow range
supreme court,have,cases
supreme court,have,ambassadors
supreme court,have,party
sex marriage,be,gay marriage
sex marriage,be,marriage
sex marriage,be,people
sex marriage,enter,sex
sex marriage,enter,civil religious ceremony
sex marriage,be,records
sex marriage,be,century
elizabeth ii,be,queen
elizabeth ii,be,united kingdom
elizabeth ii,bear,mayfair
elizabeth ii,bear,child
elizabeth ii,bear,duke
elizabeth ii,bear,york
david hall hodges,be,singer
david hall hodges,be,little rock
david hall hodges,be,60 million albums
obergefell,be,hodges
obergefell,be,landmark civil rights case
obergefell,be,united states
obergefell,be,sex couples
obergefell,be,process clause
obergefell,be,fourteenth amendment
obergefell,be,united states constitution
gun control,be,set
gun control,be,laws
gun control,be,manufacture
gun control,be,firearms
gun control,be,civilians
answer,be,law
answer,be,solemn assertion
answer,be,opposition
answer,be,question
answer,be,problem
sandy hook elementary school shooting,occur,december
sandy hook elementary school shooting,occur,newtown
sandy hook elementary school shooting,occur,26 people
sandy hook elementary school shooting,occur,20 children
funding,be,act
funding,finance,resources
funding,finance,need
funding,be,form
funding,take,money
funding,take,effort
funding,take,organization
bank,be,financial institution
bank,be,deposits
bank,be,public
bank,make,demand deposit
bank,make,loans
bank,perform,capital markets
public safety recreational firearms use protection act,be,subsection
public safety recreational firearms use protection act,be,violent crime control law enforcement act
public safety recreational firearms use protection act,be,prohibition
public safety recreational firearms use protection act,be,manufacture
public safety recreational firearms use protection act,be,civilian use
public safety recreational firearms use protection act,be,certain semi automatic firearms
public safety recreational firearms use protection act,be,assault weapons
public safety recreational firearms use protection act,be,large capacity
climate change,include,global warming
climate change,include,human induced emissions
climate change,include,greenhouse gases
climate change,include,weather patterns
iraq,be,country
iraq,be,western asia
iraq,be,turkey
iraq,be,north
iraq,be,east
iraq,be,southeast
iraq,be,south
iraq,be,southwest
iraq,be,west
islamic state,be,iraq
islamic state,be,arabic acronym daesh
islamic state,be,militant group
islamic state,be,salafi jihadist doctrine
process,be,engineering
process,be,series
process,be,interrelated tasks
process,be,inputs
process,be,given output
process,use,people
process,use,resources
process,consider,context
process,consider,agents
process,consider,tasks
united states navy,be,maritime service branch
united states navy,be,united states armed forces
united states navy,be,uniformed services
united states navy,be,united states
paris agreement,be,agreement
paris agreement,be,united nations framework convention
paris agreement,be,climate change
paris agreement,be,climate change mitigation
climate change,include,global warming
climate change,include,human induced emissions
climate change,include,greenhouse gases
climate change,include,weather patterns
sanctions,be,law
sanctions,be,penalties
sanctions,be,enforcement
sanctions,be,incentives
sanctions,be,obedience
sanctions,be,rules
russia,be,country
russia,be,eastern europe
russia,be,largest country
russia,cover,world
russia,cover,17 million square kilometres
russia,cover,eighth
russia,cover,earth inhabited land area
invasion,be,military offensive
invasion,be,combatants
invasion,be,geopolitical entity
invasion,be,territory
invasion,be,entity
invasion,be,objective
invasion,be,control
invasion,be,partition
invasion,be,country
invasion,be,established government
invasion,be,concessions
invasion,be,said government
ukraine,be,country
ukraine,be,eastern europe
ukraine,be,second largest country
ukraine,be,europe
ukraine,be,russia
ukraine,be,east
interference,be,physics
interference,be,phenomenon
interference,form,resultant wave
interference,form,greater
2020 united states presidential election,be,59th quadrennial presidential election
2020 united states presidential election,be,tuesday
joint comprehensive plan,be,action
joint comprehensive plan,be,iran nuclear deal
joint comprehensive plan,be,agreement
joint comprehensive plan,be,iranian nuclear program
joint comprehensive plan,be,vienna
joint comprehensive plan,be,14 july
joint comprehensive plan,be,iran
joint comprehensive plan,be,european union
iran,be,persia
iran,be,country
iran,be,western asia
iran,border,northwest
iran,border,armenia
iran,border,north
iran,border,caspian sea
iran,border,northeast
iran,border,turkmenistan
iran,border,east
iran,border,afghanistan
iran,border,southeast
iran,border,pakistan
iran,border,south
iran,border,persian gulf
iran,border,oman
iran,border,west
iran,border,turkey
cuba,be,country
cuba,be,island
cuba,where,mexico
justice,be,peace
justice,be,judicial officer
justice,be,lower puisne court
justice,be,means
justice,be,commission
justice,use,past centuries
justice,use,meaning
nomination,be,process
nomination,be,candidate
nomination,be,election
nomination,be,public office
nomination,narrow,honor
nomination,narrow,nominees
nomination,narrow,list
nomination,narrow,candidates
nomination,narrow,short list
washington wizards,be,american professional basketball team
washington wizards,compete,washington
washington wizards,compete,national basketball association
washington wizards,compete,member
washington wizards,compete,league eastern conference southeast division
barack hussein obama ii,be,american politician
barack hussein obama ii,be,44th president
barack hussein obama ii,be,united states
barack hussein obama ii,be,democratic party
barack hussein obama ii,be,african american president
reputation,be,social entity
reputation,be,opinion
reputation,be,entity
reputation,be,result
reputation,be,social evaluation
reputation,be,set
reputation,be,criteria
reputation,be,behaviour
president,be,common title
president,be,head
president,be,state
president,be,republics
president,vary,form
president,vary,government
michelle lavaughn robinson obama,be,american attorney
michelle lavaughn robinson obama,be,lady
michelle lavaughn robinson obama,be,united states
michelle lavaughn robinson obama,be,african american woman
michelle lavaughn robinson obama,be,position
michelle lavaughn robinson obama,be,44th president
michelle lavaughn robinson obama,raise,south
michelle lavaughn robinson obama,be,chicago
michelle lavaughn robinson obama,be,graduate
michelle lavaughn robinson obama,be,princeton university
michelle lavaughn robinson obama,work,early legal career
michelle lavaughn robinson obama,work,law firm
michelle lavaughn robinson obama,meet,barack obama
michelle lavaughn robinson obama,work,nonprofits
michelle lavaughn robinson obama,work,associate dean
michelle lavaughn robinson obama,work,student services
michelle lavaughn robinson obama,work,university
michelle lavaughn robinson obama,marry,community external affairs
michelle lavaughn robinson obama,marry,chicago medical center
michelle lavaughn robinson obama,marry,barack
michelle lavaughn robinson obama,campaign,daughters
michelle lavaughn robinson obama,campaign,husband presidential bid
michelle lavaughn robinson obama,deliver,keynote address
michelle lavaughn robinson obama,deliver,2008 democratic national convention
michelle lavaughn robinson obama,deliver,acclaimed speeches
michelle lavaughn robinson obama,serve,role model
michelle lavaughn robinson obama,serve,women
michelle lavaughn robinson obama,serve,advocate
michelle lavaughn robinson obama,serve,poverty awareness
michelle lavaughn robinson obama,support,american designers
michelle lavaughn robinson obama,support,fashion icon
michelle lavaughn robinson obama,remain,husband presidency
michelle lavaughn robinson obama,top,gallup poll
michelle lavaughn robinson obama,top,admired woman
michelle lavaughn robinson obama,top,america
michelle lavaughn robinson obama,top,year
word lady,be,term
word lady,be,respect
word lady,be,girl
word lady,use,gentleman
word lady,use,women
word lady,use,high social class
word lady,refer,lord
word lady,refer,adult woman
united states,be,america
united states,be,country
united states,consist,north america
united states,consist,50 states
job,be,person role
job,be,society
job,be,activity
job,have,exchange
job,have,payment
job,have,multiple jobs
south,be,cardinal directions
south,be,opposite
south,be,north
south,be,east
chicago bears,be,professional american football team
chicago bears,compete,chicago
chicago bears,compete,national football league
chicago bears,compete,member club
chicago bears,compete,league national football conference north division
alumnus,be,college
alumnus,be,student
alumnus,be,fashion
alumnus,be,institution
alumnus,be,alumni
alumnus,be,men
alumnus,be,women
alumnus,be,graduate
princeton university,be,private ivy league research university
princeton university,found,princeton
princeton university,found,elizabeth
princeton university,found,college
princeton university,be,new jersey
princeton university,be,fourth oldest institution
princeton university,be,higher education
princeton university,be,united states
princeton university,be,colonial colleges
princeton university,be,american revolution
law firm,be,business entity
law firm,be,lawyers
law firm,be,practice
law firm,be,law
law firm,be,clients
law firm,be,legal rights
law firm,be,civil criminal cases
barack hussein obama ii,be,american politician
barack hussein obama ii,be,44th president
barack hussein obama ii,be,united states
barack hussein obama ii,be,democratic party
barack hussein obama ii,be,african american president
greatnonprofits,be,501 registered non profit organization
greatnonprofits,be,united states
greatnonprofits,be,leading developer
greatnonprofits,be,tools
greatnonprofits,be,information
student affairs,be,department
student affairs,be,services
student affairs,be,student success
student affairs,be,institutions
student affairs,be,higher education
student affairs,be,student growth
student affairs,be,united states
university,be,institution
university,be,higher education
university,be,academic degrees
university,offer,academic disciplines
university,offer,undergraduate postgraduate programs
barack hussein obama ii,be,american politician
barack hussein obama ii,be,44th president
barack hussein obama ii,be,united states
barack hussein obama ii,be,democratic party
barack hussein obama ii,be,african american president
daughters,be,single
daughters,be,heavier things
daughters,be,blues rock singer songwriter john mayer
daughters,win,numerous awards
daughters,win,2005 grammy award
daughters,win,song
daughters,win,year
daughters,win,47th grammy awards
keynote address,give,2004 democratic national convention
keynote address,give,illinois state senator
keynote address,give,night
keynote address,give,tuesday
keynote address,give,boston
united states,be,quadrennial presidential nominating convention
united states,be,democratic party
united states,be,national platform
united states,be,candidates
united states,be,president
role model,be,person
role model,credit,younger people
role model,credit,sociologist robert k. merton
role model,credit,phrase
role model,credit,career
female,be,sex
female,be,organism
female,be,non mobile ova
female,be,gamete
female,have,male gamete
female,have,sexual reproduction
female,have,female humans
female,have,x chromosomes
advocate,be,professional
advocate,be,field
advocate,be,law
advocate,use,term
advocate,use,somewhat differing meanings
advocate,be,english law
advocate,be,barrister
apple inc,be,american multinational technology company
apple inc,be,cupertino
apple inc,be,consumer electronics
gallup,be,american analytics advisory company
gallup,found,washington
gallup,found,george gallup
gallup,know,public opinion polls
united states,be,america
united states,be,country
united states,consist,north america
united states,consist,50 states
year,be,orbital period
year,be,planetary body
year,move,example
year,move,orbit
year,move,sun
year,move,earth axial tilt
year,see,passing
year,see,seasons
year,see,change
year,see,weather
year,see,daylight
